Metadata_target_list_split_compact,Metadata_broad_sample
HTR1A,BRD-K18895904-001-16-1
HTR1A,BRD-K68982262-001-01-4
HTR1A,BRD-K70358946-001-17-3
HTR1A,BRD-K72815923-034-02-0
HTR1B|HTR2A,BRD-K18895904-001-16-1
HTR1B|HTR2A,BRD-K68982262-001-01-4
HTR1B|HTR2A,BRD-K70358946-001-17-3
HTR1B|HTR2A,BRD-K72815923-034-02-0
HTR1D|HTR1E|HTR2C|HTR6|HTR7,BRD-K18895904-001-16-1
HTR1D|HTR1E|HTR2C|HTR6|HTR7,BRD-K70358946-001-17-3
HTR1D|HTR1E|HTR2C|HTR6|HTR7,BRD-K72815923-034-02-0
HTR1F,BRD-K18895904-001-16-1
HTR1F,BRD-K72815923-034-02-0
HTR2B,BRD-A72483914-001-03-7
HTR2B,BRD-K18895904-001-16-1
HTR2B,BRD-K68982262-001-01-4
HTR2B,BRD-K72815923-034-02-0
HTR3A,BRD-A69636825-003-04-7
HTR3A,BRD-K18895904-001-16-1
HTR3A,BRD-K24616672-003-20-1
HTR3A,BRD-K36461289-001-05-8
HTR3A,BRD-K68982262-001-01-4
HTR3A,BRD-K70358946-001-17-3
HTR3B,BRD-K36461289-001-05-8
ICAM1,BRD-K43236057-001-07-1
ICAM1,BRD-K77627880-001-04-0
IGF1R,BRD-K15179513-001-04-2
IGF1R,BRD-K22149900-001-06-2
IGF1R,BRD-K24696047-001-02-3
IGF1R,BRD-K34581968-001-05-3
IL10,BRD-K81405859-300-01-4
IL1B|IL6,BRD-K16444452-001-09-1
IL1B|IL6,BRD-K81405859-300-01-4
IMPDH1,BRD-K32821942-001-22-1
IMPDH1,BRD-K49350383-001-13-7
IMPDH2,BRD-K49350383-001-13-7
INSR,BRD-K22149900-001-06-2
INSR,BRD-K24696047-001-02-3
ITGAL|ITGB2,BRD-K20093108-001-02-3
JAK1|JAK3|TYK2,BRD-K12502280-001-11-4
JAK1|JAK3|TYK2,BRD-K16803204-001-01-6
JAK1|JAK3|TYK2,BRD-K53972329-001-01-3
JAK2,BRD-K12502280-001-11-4
JAK2,BRD-K14560436-001-01-4
JAK2,BRD-K16803204-001-01-6
JAK2,BRD-K53972329-001-01-3
JAK2,BRD-K20986415-001-02-6
KCNA1|KCNA10|KCNA3|KCNA4|KCNA6|KCNB1|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH3|KCNH4|KCNH8|KCNJ13|KCNQ3|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,BRD-K22482860-001-20-6
KCNA2,BRD-K22482860-001-20-6
KCNA2,BRD-K42352790-001-05-3
KCNA5,BRD-A69636825-003-04-7
KCNA5,BRD-K22482860-001-20-6
KCNA5,BRD-K59632282-052-03-1
KCNA7|KCNH1|KCNH5,BRD-K22482860-001-20-6
KCNA7|KCNH1|KCNH5,BRD-K59632282-052-03-1
KCNB2,BRD-K22482860-001-20-6
KCNB2,BRD-K48278478-001-01-2
KCNH2,BRD-A74391928-051-03-9
KCNH2,BRD-A82396632-008-30-8
KCNH2,BRD-K22482860-001-20-6
KCNH2,BRD-K59632282-052-03-1
KCNH6|KCNH7,BRD-A74391928-051-03-9
KCNH6|KCNH7,BRD-A82396632-008-30-8
KCNH6|KCNH7,BRD-K22482860-001-20-6
KCNJ10,BRD-K52960356-001-13-0
KCNJ11,BRD-A74391928-051-03-9
KCNJ11,BRD-K36927236-001-36-7
KCNJ11,BRD-K52960356-001-13-0
KCNJ5,BRD-K22482860-001-20-6
KCNJ5,BRD-K36927236-001-36-7
KCNK1|KCNK6,BRD-A74391928-051-03-9
KCNK1|KCNK6,BRD-K59632282-052-03-1
KCNMA1,BRD-A82396632-008-30-8
KCNMA1,BRD-K24616672-003-20-1
KCNMA1,BRD-K94342292-001-01-3
KCNMB1|KCNMB2|KCNMB3|KCNMB4,BRD-A82396632-008-30-8
KCNMB1|KCNMB2|KCNMB3|KCNMB4,BRD-K24616672-003-20-1
KCNN1|KCNN2|KCNN3,BRD-A82396632-008-30-8
KCNN1|KCNN2|KCNN3,BRD-K24616672-003-20-1
KCNN1|KCNN2|KCNN3,BRD-K37602296-001-01-6
KCNN1|KCNN2|KCNN3,BRD-K70586315-001-02-4
KCNN4,BRD-A82396632-008-30-8
KCNN4,BRD-K24616672-003-20-1
KCNN4,BRD-K37602296-001-01-6
KCNN4,BRD-K70586315-001-02-4
KCNN4,BRD-K48278478-001-01-2
KCNQ1,BRD-A91008255-003-24-8
KCNQ1,BRD-K22482860-001-20-6
KCNQ1,BRD-K50720187-051-03-1
KCNQ1,BRD-K98763141-001-30-8
KCNQ2,BRD-K22482860-001-20-6
KCNQ2,BRD-K50720187-051-03-1
KCNQ4,BRD-A91008255-003-24-8
KCNQ4,BRD-K22482860-001-20-6
KDR,BRD-K16730910-001-07-3
KDR,BRD-K25244359-066-02-6
KDR,BRD-K29895144-001-01-0
KDR,BRD-K34581968-001-05-3
KDR,BRD-K44227013-001-08-0
KDR,BRD-K55966568-001-09-6
KDR,BRD-K74514084-003-09-2
KDR,BRD-K81801188-001-02-8
KDR,BRD-K86930074-001-05-0
KDR,BRD-K99616396-316-05-3
KIT,BRD-K15819326-001-01-6
KIT,BRD-K16730910-001-07-3
KIT,BRD-K25244359-066-02-6
KIT,BRD-K44227013-001-08-0
KIT,BRD-K74514084-003-09-2
KIT,BRD-K86930074-001-05-0
KIT,BRD-K90747162-001-01-4
KIT,BRD-K99616396-316-05-3
LCK,BRD-A37704979-001-12-3
LCK,BRD-K34581968-001-05-3
LCK,BRD-K44227013-001-08-0
LCK,BRD-K50199947-001-03-4
LCK,BRD-K50495309-001-02-0
LCK,BRD-K54330070-001-19-6
LCK,BRD-K62810658-001-11-4
LCK,BRD-K73789395-001-09-9
LCK,BRD-K95785537-001-22-3
LPAR1|LPAR3,BRD-A25569250-001-03-3
LPAR1|LPAR3,BRD-K26439554-001-01-3
LYN,BRD-K44227013-001-08-0
LYN,BRD-K95785537-001-22-3
MAOA|MAOB,BRD-K12102668-001-25-5
MAOA|MAOB,BRD-K24616672-003-20-1
MAP2K1,BRD-K62810658-001-11-4
MAPK1,BRD-A37704979-001-12-3
MAPK1,BRD-K34581968-001-05-3
MAPK1,BRD-K54330070-001-19-6
MAPK1,BRD-K62810658-001-11-4
MAPK11,BRD-A37704979-001-12-3
MAPK11,BRD-K16730910-001-07-3
MAPK11,BRD-K54330070-001-19-6
MAPK11,BRD-K62810658-001-11-4
MAPK12|RPS6KB1|SGK1,BRD-A37704979-001-12-3
MAPK12|RPS6KB1|SGK1,BRD-K54330070-001-19-6
MAPK12|RPS6KB1|SGK1,BRD-K62810658-001-11-4
MAPK14,BRD-A37704979-001-12-3
MAPK14,BRD-K54330070-001-19-6
MAPK14,BRD-K62810658-001-11-4
MAPK14,BRD-K73789395-001-09-9
MAPK8,BRD-A37704979-001-12-3
MAPK8,BRD-K32730239-001-01-0
MAPK8,BRD-K45746021-003-01-9
MAPK8,BRD-K54330070-001-19-6
MAPK8,BRD-K62810658-001-11-4
MAPK9,BRD-A37704979-001-12-3
MAPK9,BRD-K20986415-001-02-6
MARK3,BRD-K45293975-001-02-0
MERTK,BRD-K91283740-003-01-6
MME,BRD-A08187463-001-12-9
MTOR|PIK3CB|PIK3CD,BRD-K81801188-001-02-8
NAMPT,BRD-K58550667-001-08-7
NOS2,BRD-A10188456-001-04-9
NOS2,BRD-K38775274-001-22-1
NOS2,BRD-A82396632-008-30-8
NOS3|TRPV5,BRD-A82396632-008-30-8
NR3C1,BRD-A10188456-001-04-9
NR3C1,BRD-K38775274-001-22-1
NR3C1,BRD-K21528677-001-04-4
NR3C2,BRD-A10188456-001-04-9
NR3C2,BRD-K38775274-001-22-1
NR3C2,BRD-A30815329-001-12-1
NR3C2,BRD-A58048407-001-20-4
NTRK1,BRD-K07881437-001-03-8
NTRK1,BRD-K16730910-001-07-3
NTRK1,BRD-K19975102-001-01-2
NTRK2|NTRK3,BRD-K19975102-001-01-2
OPRD1|OPRM1,BRD-A72767275-003-01-6
OPRD1|OPRM1,BRD-K14681867-001-01-6
OPRD1|OPRM1,BRD-K61250553-003-30-6
OPRK1,BRD-A72767275-003-01-6
OPRK1,BRD-K61250553-003-30-6
OPRL1,BRD-K47049295-300-03-1
